ano,sigla_uf,sexo,total_trabalhadores,salario_medio
1994,BA,Masculino,549807,
1994,CE,Feminino,264308,
1994,CE,Masculino,312640,
1994,DF,Feminino,197353,
1994,DF,Masculino,434529,
1994,ES,Feminino,147060,
1994,ES,Masculino,257678,
1994,GO,Feminino,187914,
1994,GO,Masculino,291837,
1994,IGNORADO,Feminino,30993,
1994,IGNORADO,Masculino,139663,
1994,MA,Feminino,109889,
1994,MA,Masculino,131464,
1994,MG,Feminino,788920,
1994,MG,Masculino,1481573,
1994,MS,Feminino,85267,
1994,MS,Masculino,162403,
1994,MT,Feminino,81539,
1994,MT,Masculino,148469,
1994,PA,Feminino,153568,
1994,PA,Masculino,243648,
1994,PB,Feminino,118228,
1994,PB,Masculino,128734,
1994,PE,Feminino,288843,
1994,PE,Masculino,517331,
1994,PI,Feminino,87149,
1994,PI,Masculino,97049,
1994,PR,Feminino,519938,
1994,PR,Masculino,910069,
1994,RJ,Feminino,966879,
1994,RJ,Masculino,1723908,
1994,RN,Feminino,126670,
1994,RN,Masculino,148692,
1994,RO,Feminino,48632,
1994,RO,Masculino,66849,
1994,RR,Feminino,9338,
1994,RR,Masculino,11439,
1994,RS,Feminino,709599,
1994,RS,Masculino,1075073,
1994,SC,Feminino,334098,
1994,SC,Masculino,589494,
1994,SE,Feminino,76747,
1994,SE,Masculino,102994,
1994,SP,Feminino,2797641,
1994,SP,Masculino,5037760,
1994,TO,Feminino,10739,
1994,TO,Masculino,19912,
1995,AC,Feminino,24992,
1995,AC,Masculino,23164,
1995,AL,Feminino,108583,
1995,AL,Masculino,167690,
1995,AM,Feminino,102350,
1995,AM,Masculino,136903,
1995,AP,Feminino,12221,
1995,AP,Masculino,19537,
1995,BA,Feminino,380356,
1995,BA,Masculino,571082,
1995,CE,Feminino,273863,
1995,CE,Masculino,322207,
1995,DF,Feminino,192904,
1995,DF,Masculino,436254,
1995,ES,Feminino,155881,
1995,ES,Masculino,264666,
1995,GO,Feminino,202643,
1995,GO,Masculino,308345,
1995,IGNORADO,Feminino,2603,
1995,IGNORADO,Masculino,7347,
1995,MA,Feminino,112917,
1995,MA,Masculino,135008,
1995,MG,Feminino,856975,
1995,MG,Masculino,1579268,
1995,MS,Feminino,90497,
1995,MS,Masculino,164801,
1995,MT,Feminino,80422,
1995,MT,Masculino,152012,
1995,PA,Feminino,154384,
1995,PA,Masculino,239424,
1995,PB,Feminino,141851,
1995,PB,Masculino,166583,
1995,PE,Feminino,297752,
1995,PE,Masculino,527261,
1995,PI,Feminino,87124,
1995,PI,Masculino,97260,
1995,PR,Feminino,540638,
1995,PR,Masculino,921846,
1995,RJ,Feminino,972159,
1995,RJ,Masculino,1716033,
1995,RN,Feminino,132023,
1995,RN,Masculino,153962,
1995,RO,Feminino,49859,
1995,RO,Masculino,69143,
1995,RR,Feminino,9247,
1995,RR,Masculino,12159,
1995,RS,Feminino,690357,
1995,RS,Masculino,1038811,
1995,SC,Feminino,329742,
1995,SC,Masculino,579003,
1995,SE,Feminino,77559,
1995,SE,Masculino,100989,
1995,SP,Feminino,2771673,
1995,SP,Masculino,4936604,
1995,TO,Feminino,22144,
1995,TO,Masculino,34587,
1996,AC,Feminino,27261,
1996,AC,Masculino,27396,
1996,AL,Feminino,108498,
1996,AL,Masculino,171082,
1996,AM,Feminino,94444,
1996,AM,Masculino,136298,
1996,AP,Feminino,16266,
1996,AP,Masculino,22732,
1996,BA,Feminino,391906,
1996,BA,Masculino,571912,
1996,CE,Feminino,286190,
1996,CE,Masculino,328849,
1996,DF,Feminino,180742,
1996,DF,Masculino,438763,
1996,ES,Feminino,155300,
1996,ES,Masculino,270971,
1996,GO,Feminino,205508,
1996,GO,Masculino,321600,
1996,IGNORADO,Feminino,2166,
1996,IGNORADO,Masculino,4839,
1996,MA,Feminino,114608,
1996,MA,Masculino,137553,
1996,MG,Feminino,879297,
1996,MG,Masculino,1590410,
1996,MS,Feminino,93049,
1996,MS,Masculino,163679,
1996,MT,Feminino,82531,
1996,MT,Masculino,157870,
1996,PA,Feminino,156574,
1996,PA,Masculino,240188,
1996,PB,Feminino,138895,
1996,PB,Masculino,166162,
1996,PE,Feminino,296824,
1996,PE,Masculino,517883,
1996,PI,Feminino,86355,
1996,PI,Masculino,106411,
1996,PR,Feminino,538520,
1996,PR,Masculino,906543,
1996,RJ,Feminino,1007051,
1996,RJ,Masculino,1705475,
1996,RN,Feminino,130761,
1996,RN,Masculino,156853,
1996,RO,Feminino,46492,
1996,RO,Masculino,66382,
1996,RR,Feminino,8591,
1996,RR,Masculino,13207,
1996,RS,Feminino,712132,
1996,RS,Masculino,1023664,
1996,SC,Feminino,333701,
1996,SC,Masculino,575907,
1996,SE,Feminino,77862,
1996,SE,Masculino,106039,
1996,SP,Feminino,2803859,
1996,SP,Masculino,4854410,
1996,TO,Feminino,28822,
1996,TO,Masculino,42976,
1997,AC,Feminino,27510,
1997,AC,Masculino,27707,
1997,AL,Feminino,91795,
1997,AL,Masculino,157950,
1997,AM,Feminino,95216,
1997,AM,Masculino,138302,
1997,AP,Feminino,15768,
1997,AP,Masculino,22650,
1997,BA,Feminino,414366,
1997,BA,Masculino,588875,
1997,CE,Feminino,287849,
1997,CE,Masculino,338606,
1997,DF,Feminino,195218,
1997,DF,Masculino,469413,
1997,ES,Feminino,150497,
1997,ES,Masculino,265410,
1997,GO,Feminino,214656,
1997,GO,Masculino,338433,
1997,IGNORADO,Feminino,1154,
1997,IGNORADO,Masculino,2610,
1997,MA,Feminino,116561,
1997,MA,Masculino,148403,
1997,MG,Feminino,907969,
1997,MG,Masculino,1629358,
1997,MS,Feminino,94946,
1997,MS,Masculino,171257,
1997,MT,Feminino,89320,
1997,MT,Masculino,171199,
1997,PA,Feminino,155485,
1997,PA,Masculino,240484,
1997,PB,Feminino,136120,
1997,PB,Masculino,169131,
1997,PE,Feminino,306404,
1997,PE,Masculino,511515,
1997,PI,Feminino,82951,
1997,PI,Masculino,99641,
1997,PR,Feminino,572841,
1997,PR,Masculino,955288,
1997,RJ,Feminino,993209,
1997,RJ,Masculino,1662185,
1997,RN,Feminino,123352,
1997,RN,Masculino,148974,
1997,RO,Feminino,54984,
1997,RO,Masculino,75352,
1997,RR,Feminino,9439,
1997,RR,Masculino,12350,
1997,RS,Feminino,718694,
1997,RS,Masculino,1039973,
1997,SC,Feminino,344588,
1997,SC,Masculino,594120,
1997,SE,Feminino,79200,
1997,SE,Masculino,108081,
1997,SP,Feminino,2814485,
1997,SP,Masculino,4823176,
1997,TO,Feminino,34869,
1997,TO,Masculino,42264,
1998,AC,Feminino,30143,
1998,AC,Masculino,30033,
1998,AL,Feminino,93703,
1998,AL,Masculino,159539,
1998,AM,Feminino,96494,
1998,AM,Masculino,140533,
1998,AP,Feminino,18352,
1998,AP,Masculino,25516,
1998,BA,Feminino,437083,
1998,BA,Masculino,625251,
1998,CE,Feminino,294567,
1998,CE,Masculino,350925,
1998,DF,Feminino,219520,
1998,DF,Masculino,499963,
1998,ES,Feminino,160401,
1998,ES,Masculino,271570,
1998,GO,Feminino,226598,
1998,GO,Masculino,354022,
1998,MA,Feminino,121244,
1998,MA,Masculino,152190,
1998,MG,Feminino,992370,
1998,MG,Masculino,1647003,
1998,MS,Feminino,97887,
1998,MS,Masculino,177538,
1998,MT,Feminino,95193,
1998,MT,Masculino,181815,
1998,PA,Feminino,158853,
1998,PA,Masculino,259589,
1998,PB,Feminino,145541,
1998,PB,Masculino,181147,
1998,PE,Feminino,313227,
1998,PE,Masculino,509501,
1998,PI,Feminino,91553,
1998,PI,Masculino,105028,
1998,PR,Feminino,589929,
1998,PR,Masculino,970107,
1998,RJ,Feminino,1014985,
1998,RJ,Masculino,1671391,
1998,RN,Feminino,128558,
1998,RN,Masculino,157767,
1998,RO,Feminino,54161,
1998,RO,Masculino,78821,
1998,RR,Feminino,10718,
1998,RR,Masculino,15029,
1998,RS,Feminino,732824,
1998,RS,Masculino,1051489,
1998,SC,Feminino,351132,
1998,SC,Masculino,595884,
1998,SE,Feminino,81945,
1998,SE,Masculino,111125,
1998,SP,Feminino,2809244,
1998,SP,Masculino,4709670,
1998,TO,Feminino,39778,
1998,TO,Masculino,50756,
1999,AC,Feminino,28869,560.37894454258731
1999,AC,Masculino,29205,693.15793699708479
1999,AL,Feminino,95190,435.20903319676609
1999,AL,Masculino,158278,473.27744740266922
1999,AM,Feminino,98091,621.87460816996668
1999,AM,Masculino,134874,786.8790809199661
1999,AP,Feminino,18127,822.77496055607685
1999,AP,Masculino,25802,841.53905976280532
1999,BA,Feminino,469266,469.59849969953939
1999,BA,Masculino,639339,560.54468665294507
1999,CE,Feminino,311378,405.06559846873824
1999,CE,Masculino,355654,509.4676379289898
1999,DF,Feminino,231073,1208.2082219038878
1999,DF,Masculino,499706,1152.9288738578441
1999,ES,Feminino,167958,528.90901106229137
1999,ES,Masculino,283423,635.76261238502218
1999,GO,Feminino,241472,437.12655164988053
1999,GO,Masculino,369200,528.44129715601252
1999,MA,Feminino,126672,394.56072052229109
1999,MA,Masculino,145934,534.547623583275
1999,MG,Feminino,1049723,497.08840188315764
1999,MG,Masculino,1678783,571.50506242319807
1999,MS,Feminino,104474,493.90395036086176
1999,MS,Masculino,178880,558.90889098837181
1999,MT,Feminino,99521,543.33413289657574
1999,MT,Masculino,190286,566.19615904480293
1999,PA,Feminino,164112,513.42950204737838
1999,PA,Masculino,267964,581.32787053483651
1999,PB,Feminino,151844,380.80551579252113
1999,PB,Masculino,178548,498.35592720164686
1999,PE,Feminino,330884,470.17562127513821
1999,PE,Masculino,523995,536.00694102042735
1999,PI,Feminino,95452,378.65492477894361
1999,PI,Masculino,106116,496.85433035545412
1999,PR,Feminino,604690,527.68470333560481
1999,PR,Masculino,976104,649.9516037635284
1999,RJ,Feminino,1027070,654.78620411461623
1999,RJ,Masculino,1614228,798.22606162201339
1999,RN,Feminino,137258,378.64600934006876
1999,RN,Masculino,160358,498.9845753252045
1999,RO,Feminino,60581,606.14336211022635
1999,RO,Masculino,83879,664.23108215405125
1999,RR,Feminino,10691,766.57595079974135
1999,RR,Masculino,13916,831.8597571141147
1999,RS,Feminino,758027,575.83604011465991
1999,RS,Masculino,1057202,720.38937661865634
1999,SC,Feminino,378596,506.23242274086527
1999,SC,Masculino,633335,657.571507432863
1999,SE,Feminino,84805,441.80621944460648
1999,SE,Masculino,110781,557.41747574042881
1999,SP,Feminino,2890557,750.3115737589668
1999,SP,Masculino,4744849,923.74933536136427
1999,TO,Feminino,42616,478.13812582128992
1999,TO,Masculino,53416,582.53319436124048
2000,AC,Feminino,29637,623.21569423356
2000,AC,Masculino,31811,722.17555373927541
2000,AL,Feminino,97448,459.26492857729164
2000,AL,Masculino,174735,480.7831416716698
2000,AM,Feminino,102692,644.25699090484238
2000,AM,Masculino,146681,813.19739530001334
2000,AP,Feminino,19777,822.13687869747491
2000,AP,Masculino,27738,859.74302653399036
2000,BA,Feminino,490319,514.45207883029389
2000,BA,Masculino,687024,609.04711261908164
2000,CE,Feminino,317090,430.2726167334219
2000,CE,Masculino,374003,544.48477391891856
2000,DF,Feminino,278016,1300.5871237266927
2000,DF,Masculino,534345,1226.0514219652243
2000,ES,Feminino,174199,553.36234697099474
2000,ES,Masculino,297499,656.95470421748871
2000,GO,Feminino,260126,468.02462552762609
2000,GO,Masculino,403776,560.79088459938362
2000,MA,Feminino,128192,437.68570542623314
2000,MA,Masculino,156601,553.40190675666668
