ano,sigla_uf,sexo,raca_cor,condicao_forca_trabalho,categoria_ocupacao,total_pessoas,rendimento_medio_trabalho
2013,BA,Masculino,Amarela,Na força de trabalho,Conta própria,1815,610.15
2013,BA,Feminino,Amarela,Na força de trabalho,Conta própria,760,433.19
2014,RO,Masculino,Parda,Na força de trabalho,Conta própria,1,600.0
2013,MA,Masculino,Branca,Na força de trabalho,Conta própria,627,829.05
2013,MA,Feminino,Branca,Na força de trabalho,Conta própria,272,626.77
2017,RN,Masculino,Amarela,Na força de trabalho,Conta própria,450,971.37
2017,RN,Masculino,Parda,Na força de trabalho,Conta própria,1,2500.0
2016,RN,Feminino,Amarela,Na força de trabalho,Conta própria,224,783.76
2016,RN,Masculino,Amarela,Na força de trabalho,Conta própria,2,750.0
2022,RJ,Feminino,Parda,Na força de trabalho,Conta própria,15,2120.67
2019,RS,Feminino,Preta,Na força de trabalho,Conta própria,51,1268.65
2020,AL,Feminino,Branca,Na força de trabalho,Conta própria,86,997.17
2019,TO,Masculino,Preta,Na força de trabalho,Conta própria,72,1310.67
2017,MG,Feminino,Parda,Na força de trabalho,Conta própria,2,875.0
2024,AL,Feminino,Amarela,Na força de trabalho,Conta própria,339,1125.64
2022,GO,Masculino,Amarela,Na força de trabalho,Conta própria,622,2497.86
2022,GO,Feminino,Branca,Na força de trabalho,Conta própria,284,2111.41
2021,SC,Masculino,Não informado,Na força de trabalho,Conta própria,2,1200.0
2022,RN,Masculino,Parda,Na força de trabalho,Conta própria,1,1200.0
2016,AP,Masculino,Parda,Na força de trabalho,Conta própria,1,3000.0
2016,DF,Masculino,Amarela,Na força de trabalho,Conta própria,2,1700.0
2015,ES,Masculino,Amarela,Na força de trabalho,Conta própria,767,1358.06
2015,SC,Feminino,Preta,Na força de trabalho,Conta própria,19,1205.53
2015,AM,Masculino,Preta,Na força de trabalho,Conta própria,75,556.11
2023,AL,Masculino,Preta,Na força de trabalho,Conta própria,105,1224.63
2012,RO,Feminino,Amarela,Na força de trabalho,Conta própria,169,701.59
2014,PA,Masculino,Amarela,Na força de trabalho,Conta própria,8,566.67
2013,SP,Masculino,Parda,Na força de trabalho,Conta própria,31,2374.71
2013,PA,Feminino,Preta,Na força de trabalho,Conta própria,51,599.9
2017,SP,Feminino,Preta,Na força de trabalho,Conta própria,114,1305.62
2017,PE,Masculino,Amarela,Na força de trabalho,Conta própria,3,1133.33
2016,RR,Feminino,Preta,Na força de trabalho,Conta própria,12,944.17
2017,AM,Feminino,Amarela,Na força de trabalho,Conta própria,9,334.44
2016,MG,Masculino,Amarela,Na força de trabalho,Conta própria,1,1500.0
2017,RJ,Masculino,Branca,Na força de trabalho,Conta própria,1331,2179.86
2017,MA,Masculino,Preta,Na força de trabalho,Conta própria,379,662.71
2019,PR,Feminino,Preta,Na força de trabalho,Conta própria,37,1601.22
2019,SE,Feminino,Amarela,Na força de trabalho,Conta própria,314,618.73
