ano,sigla_uf,sexo,faixa_etaria,media_aposentadoria_pensao,media_pensao_alimenticia,media_programas_sociais,media_outros_rendimentos,total_respondentes
2019,RN,Masculino,Outras idades / Não mapeado,1.98,2.0,2.0,1.92,64
2019,PB,Masculino,30 a 44 anos,2.0,2.0,2.0,2.0,214
2019,PB,Masculino,Outras idades / Não mapeado,1.99,1.99,2.0,1.97,257
2019,PB,Masculino,15 a 29 anos,2.0,2.0,2.0,2.0,235
2019,PB,Feminino,Outras idades / Não mapeado,1.97,2.0,2.0,1.96,145
2019,PB,Feminino,Outras idades / Não mapeado,1.99,2.0,2.0,2.0,240
2019,PB,Feminino,Outras idades / Não mapeado,1.96,1.99,2.0,1.99,211
2019,PE,Feminino,0 a 14 anos,1.99,2.0,2.0,2.0,131
2019,PE,Feminino,Outras idades / Não mapeado,1.99,1.97,1.99,2.0,162
2019,PE,Masculino,Outras idades / Não mapeado,1.97,1.98,2.0,1.96,149
2019,PE,Feminino,Outras idades / Não mapeado,1.95,1.99,2.0,1.98,102
2019,PE,Feminino,Outras idades / Não mapeado,1.97,2.0,2.0,1.97,67
2019,PE,Masculino,Outras idades / Não mapeado,1.96,2.0,2.0,1.98,89
2019,PE,Feminino,30 a 44 anos,1.99,2.0,2.0,2.0,118
2019,PE,Feminino,Outras idades / Não mapeado,1.96,2.0,2.0,1.98,47
2019,PE,Masculino,Outras idades / Não mapeado,1.94,2.0,2.0,2.0,36
2019,RJ,Feminino,Outras idades / Não mapeado,1.99,2.0,1.98,1.98,120
2019,RJ,Feminino,Outras idades / Não mapeado,1.99,2.0,2.0,1.98,136
2019,RJ,Feminino,15 a 29 anos,1.99,2.0,2.0,2.0,87
2019,RJ,Masculino,Outras idades / Não mapeado,2.0,2.0,2.0,1.96,81
2019,RJ,Masculino,45 a 59 anos,2.0,2.0,2.0,2.0,130
2019,RJ,Masculino,Outras idades / Não mapeado,1.99,2.0,2.0,1.97,94
2019,RJ,Masculino,Outras idades / Não mapeado,1.99,2.0,1.99,2.0,97
2019,RJ,Masculino,Outras idades / Não mapeado,1.96,2.0,2.0,1.92,51
2019,PR,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,2.0,14
2019,PR,Feminino,30 a 44 anos,2.0,2.0,2.0,2.0,30
2019,PR,Masculino,Outras idades / Não mapeado,2.0,2.0,2.0,1.89,18
2019,PR,Masculino,Outras idades / Não mapeado,1.97,1.97,2.0,1.91,35
2019,PR,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,2.0,5
2019,PR,Feminino,0 a 14 anos,2.0,2.0,2.0,2.0,26
2019,PR,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,2.0,40
2019,PR,Masculino,Outras idades / Não mapeado,1.83,2.0,2.0,2.0,6
2019,PR,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,2.0,7
2019,TO,Masculino,Outras idades / Não mapeado,2.0,2.0,2.0,1.94,52
2019,TO,Masculino,45 a 59 anos,1.99,1.99,2.0,2.0,88
2019,TO,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,1.98,56
2019,TO,Masculino,Outras idades / Não mapeado,2.0,1.98,1.98,2.0,45
2019,TO,Feminino,15 a 29 anos,1.98,2.0,2.0,2.0,64
2019,TO,Masculino,Outras idades / Não mapeado,1.95,2.0,2.0,1.92,37
2019,TO,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,1.95,59
2019,TO,Masculino,Outras idades / Não mapeado,1.96,2.0,2.0,2.0,25
2019,SE,Masculino,Outras idades / Não mapeado,2.0,2.0,2.0,2.0,6
2019,SE,Masculino,15 a 29 anos,2.0,2.0,2.0,2.0,5
2019,SE,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,2.0,5
2019,SE,Masculino,30 a 44 anos,1.83,2.0,2.0,2.0,6
2019,SE,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,2.0,3
2019,SE,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,2.0,1
2019,SP,Masculino,60 anos ou mais,2.0,2.0,1.98,2.0,249
2019,SP,Feminino,Outras idades / Não mapeado,1.99,2.0,2.0,1.98,272
2019,SP,Masculino,Outras idades / Não mapeado,1.95,2.0,2.0,1.89,140
2019,SP,Feminino,60 anos ou mais,2.0,2.0,1.99,2.0,284
2019,SP,Feminino,Outras idades / Não mapeado,1.91,2.0,2.0,1.93,113
