ano,sigla_uf,sexo,total_trabalhadores,salario_medio
1996,AM,Masculino,136298,0.0
1996,AP,Feminino,16266,0.0
1996,AP,Masculino,22732,0.0
1996,BA,Feminino,391906,0.0
1996,BA,Masculino,571912,0.0
1996,CE,Feminino,286190,0.0
1996,CE,Masculino,328849,0.0
1996,DF,Feminino,180742,0.0
1996,DF,Masculino,438763,0.0
1996,ES,Feminino,155300,0.0
1996,ES,Masculino,270971,0.0
1996,GO,Feminino,205508,0.0
1996,GO,Masculino,321600,0.0
1996,MA,Feminino,114608,0.0
1996,MA,Masculino,137553,0.0
1996,MG,Feminino,879297,0.0
1996,MG,Masculino,1590410,0.0
1996,MS,Feminino,93049,0.0
1996,MS,Masculino,163679,0.0
1996,MT,Feminino,82531,0.0
1996,MT,Masculino,157870,0.0
1996,PA,Feminino,156574,0.0
1996,PA,Masculino,240188,0.0
1996,PB,Feminino,138895,0.0
1996,PB,Masculino,166162,0.0
1996,PE,Feminino,296824,0.0
1996,PE,Masculino,517883,0.0
1996,PI,Feminino,86355,0.0
1996,PI,Masculino,106411,0.0
1996,PR,Feminino,538520,0.0
1996,PR,Masculino,906543,0.0
1996,RJ,Feminino,1007051,0.0
1996,RJ,Masculino,1705475,0.0
1996,RN,Feminino,130761,0.0
1996,RN,Masculino,156853,0.0
1996,RO,Feminino,46492,0.0
1996,RO,Masculino,66382,0.0
1996,RR,Feminino,8591,0.0
1996,RR,Masculino,13207,0.0
1996,RS,Feminino,712132,0.0
1996,RS,Masculino,1023664,0.0
1996,SC,Feminino,333701,0.0
1996,SC,Masculino,575907,0.0
1996,SE,Feminino,77862,0.0
1996,SE,Masculino,106039,0.0
1996,SP,Feminino,2803859,0.0
1996,SP,Masculino,4854410,0.0
1996,TO,Feminino,28822,0.0
1996,TO,Masculino,42976,0.0
1997,AC,Feminino,27510,0.0
1997,AC,Masculino,27707,0.0
1997,AL,Feminino,91795,0.0
1997,AL,Masculino,157950,0.0
1997,AM,Feminino,95216,0.0
1997,AM,Masculino,138302,0.0
1997,AP,Feminino,15768,0.0
1997,AP,Masculino,22650,0.0
1997,BA,Feminino,414366,0.0
1997,BA,Masculino,588875,0.0
